REGION,Jan-22,Feb-22,Mar-22,Apr-22,May-22,Jun-22,Jul-22,Aug-22,Sep-22,Oct-22,Nov-22,Dec-22,Jan-23
Cordillera Administrative Region (CAR),1,2,7,13,8,9,17,13,10,23,10,9,0
National Capital Region (NCR),41,31,184,322,142,525,382,341,338,331,344,162,397
Region I (Ilocos),4,3,17,44,20,47,41,49,49,63,47,24,48
Region II (Cagayan Valley),3,2,21,24,9,20,30,31,30,32,29,24,39
Region III (Central Luzon),13,11,105,156,112,158,143,162,170,162,144,162,194
Region IV-A (CALABARZON),20,20,123,223,86,298,265,233,238,279,236,123,233
Region IV-B (MIMAROPA),1,1,6,18,24,6,23,48,18,15,16,18,59
Region V (Bicol),3,3,3,37,13,38,38,30,43,25,24,18,64
Region VI (Western Visayas),1,13,192,73,60,77,106,81,107,96,79,102,91
Region VII (Central Visayas),5,5,100,76,77,99,99,84,75,114,100,53,94
Region VIII (Eastern Visayas),3,1,6,23,14,21,8,20,18,34,18,23,16
Region IX (Zamboanga Peninsula),2,1,22,22,8,13,21,29,45,24,28,11,7
Region X (Northern Mindanao),1,1,7,34,18,36,40,61,66,46,36,18,72
Region XI (Davao),2,4,183,52,43,70,77,80,84,68,68,88,66
Region XII (SOCCSKSARGEN),1,2,33,63,3,52,42,19,19,56,49,13,11
Region XIII (Caraga),1,0,28,12,4,22,7,53,35,12,15,6,46
BARMM (Bangsamoro Autonomous Region in Muslim Mindanao),1,0,4,6,4,5,7,12,2,3,8,7,2
